Name,RelativePath,DVFS,Note,ContentSubcategory,Timeout,Core_Atom,Core_Big,Core_KL
DH28-Blender-A1J-1C10004A,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Blender-A1J-1C10004B,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Ditto-GCCG-1C1000FC,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Ditto-GCAG-1C1000FB,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-DittoMT-CG-1C100117,ARL8B32A,FALSE,Decap,H,18,TRUE,TRUE,Don't Care
DH28-Fireworx-Y-1C100129,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Flipper-1C100139,ARL8B32A,FALSE,Regular; VMX,H,18,TRUE,TRUE,Don't Care
DH28-Frenzy-Y-1C100154,ARL8B32A,FALSE,Decap,H,18,TRUE,TRUE,Don't Care
DH28-Frenzy-Y-1C100151,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Frenzy-Y-1C100152,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Frenzy-X-1C100153,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Kawachi-1C1001D3,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-LeekSpin-Y-1C1001E8,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-LeekSpin-X-1C1001E7,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Oakley-LegX-1C100211,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-PlusOne-Ps-1C10022F,ARL8B32A,FALSE,Regular; VMX,H,18,TRUE,TRUE,Don't Care
DH28-Satsuma-Y-1C100249,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Scylla-SBMG-1C100264,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Scylla-BFX-1C100261,ARL8B32A,FALSE,Decap,H,18,TRUE,TRUE,Don't Care
DH28-Scylla-BFY-1C100262,ARL8B32A,FALSE,Decap; VMX,H,18,TRUE,TRUE,Don't Care
DH28-Scylla-SBFY-1C100263,ARL8B32A,FALSE,Decap,H,18,TRUE,TRUE,Don't Care
DH28-Skipper-Y-1C100294,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Twiddle-3Y-1C1002A3,ARL8B32A,FALSE,Decap,H,18,TRUE,TRUE,Don't Care
DH28-Yakko-PsY-1C1002B6,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Yakko-MdY-1C1002B5,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Aes-DY-1C100004,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Blender-A1J-1C10004C,ARL8B32A,FALSE,Regular; VMX,H,18,TRUE,TRUE,Don't Care
DH28-Blender-A1J-1C10004D,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Blender-A1J-1C10004E,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
